Source artifact,Canonical destination
Conference Intelligence workbook: Dashboard/September Decision,"Deployments, readiness configuration, decisions and tasks."
DDW/AI Expo/MJBiz/Manhattan/Reykjavík target sheets,"Targets, organizations, people, events, research questions and evidence requests."
Research Sheets,"Claims, evidence, laws/policies, systems and Hawaiʻi transfer notes."
Interview Outreach,Interactions/outreach drafts and target next actions.
Master Tracker,"Tasks, commitments, statuses and follow-up dates."
Protocols/Consent Cards,"FCIF standards, permission policy templates and interaction scripts."
Capture Taxonomy,capture_types reference table and Field Mode templates.
Field Capture Matrix/Shot Lists,"capture_packages, capture_items and subject readiness."
Asset Metadata,assets import template.
Systems Reconstruction,"systems, steps, edges and source links."
Daily Coverage Check,"daily logs, missing-coverage tasks and cognition updates."
Field Investigation Manual,FCIF Library document and searchable chunks; not flattened into operational records indiscriminately.
OS v0.1 packet,Architecture decision baseline and migration traceability.
Existing Notion/Drive objects,external mappings and canonical seed records; preserve current URLs/IDs.
